p,t,min,k
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1737.0,6963.0
1.0,13,1723.0,6977.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1716.0,6984.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1709.0,6991.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1706.0,6994.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1701.0,6999.0
1.0,13,1683.0,7017.0
